Name,Image URL,Product URL,Price (INR Numeric),Price (INR Formatted),Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core i9-12900KS 3.4 GHz 16-Core Processor,,https://pcpartpicker.com/product/sn4Ycf/intel-core-i9-12900ks-34-ghz-16-core-processor-bx8071512900ks,,52548.0,Intel,BX8071512900KS,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,3.4 GHz,5.5 GHz,2.5 GHz,4 GHz,14 MB,30 MB,150 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 5 2400G 3.6 GHz Quad-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/320f71912f65606aa2075161dc798c3d.256p.jpg,https://pcpartpicker.com/product/FGPKHx/amd-ryzen-5-2400g-36ghz-quad-core-processor-yd2400c5fbbox,,19034.0,AMD,YD2400C5FBBOX,AMD Ryzen 5,Zen,Raven Ridge,AM4,4,3.6 GHz,3.9 GHz,,,2 MB,4 MB,65 W,Radeon Vega 11,,No,Yes,Boxed,14 nm,Yes,Yes
Intel Core i9-9900KF 3.6 GHz 8-Core Processor,,https://pcpartpicker.com/product/G7KcCJ/intel-core-i9-9900kf-36-ghz-8-core-processor-bx80684i99900kf,,46593.0,Intel,BX80684I99900KF,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,3.6 GHz,5 GHz,,,2 MB,16 MB,95 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-8100 3.6 GHz Quad-Core Processor,,https://pcpartpicker.com/product/YqKhP6/intel-core-i3-8100-36ghz-4-core-processor-bx80684i38100,,7805.0,Intel,BX80684I38100,Intel Core i3,Coffee Lake,Coffee Lake,LGA1151,4,3.6 GHz,,,,1 MB,6 MB,65 W,Intel UHD Graphics 630,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i7-4790 3.6 GHz Quad-Core OEM/Tray Processor,,https://pcpartpicker.com/product/94MTwP/intel-core-i7-4790-36-ghz-quad-core-oemtray-processor-cm8064601560113,,18819.0,Intel,CM8064601560113,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,3.6 GHz,4 GHz,,,1 MB,8 MB,84 W,Intel HD Graphics 4600,,No,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 1700 3 GHz 8-Core Processor,,https://pcpartpicker.com/product/3kPzK8/amd-ryzen-7-1700-30ghz-8-core-processor-yd1700bbaebox,,17515.0,AMD,YD1700BBAEBOX,AMD Ryzen 7,Zen,Summit Ridge,AM4,8,3 GHz,3.7 GHz,,,4 MB,16 MB,65 W,,,No,Yes,Boxed,14 nm,Yes,Yes
AMD Ryzen 9 3900XT 3.8 GHz 12-Core Processor,,https://pcpartpicker.com/product/RwfFf7/amd-ryzen-9-3900xt-38-ghz-12-core-processor-100-100000277wof,,44957.0,AMD,100-100000277WOF,AMD Ryzen 9,Zen 2,Matisse,AM4,12,3.8 GHz,4.7 GHz,,,6 MB,64 MB,105 W,,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-13500 2.5 GHz 14-Core Processor,,https://pcpartpicker.com/product/mtmmP6/intel-core-i5-13500-25-ghz-14-core-processor-bx8071513500,,,Intel,BX8071513500,Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,2.5 GHz,4.8 GHz,1.8 GHz,3.5 GHz,11.5 MB,24 MB,65 W,Intel UHD Graphics 770,192 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-4770K 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/yT2kcf/intel-cpu-bx80646i74770k,,11676.0,Intel,BX80646I74770K,Intel Core i7,Haswell,Haswell,LGA1150,4,3.5 GHz,3.9 GHz,,,1 MB,8 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i7-11700KF 3.6 GHz 8-Core Processor,,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,,34916.0,Intel,BX8070811700KF,Intel Core i7,Rocket Lake,Rocket Lake-S,LGA1200,8,3.6 GHz,5 GHz,,,4 MB,16 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Athlon 3000G (14nm) 3.5 GHz Dual-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/4cca7584d65df7a4e4b5298805e9552f.256p.jpg,https://pcpartpicker.com/product/664BD3/amd-athlon-3000g-35-ghz-dual-core-processor-yd3000c6fhbox,,8172.0,AMD,YD3000C6FHBOX,AMD Athlon,Zen,Raven Ridge,AM4,2,3.5 GHz,,,,1 MB,4 MB,35 W,Radeon Vega 3,128 GB,No,Yes,Boxed,14 nm,Yes,Yes
Intel Core i5-8500 3 GHz 6-Core Processor,,https://pcpartpicker.com/product/kFKcCJ/intel-core-i5-8500-3ghz-6-core-processor-bx80684i58500,,21018.0,Intel,BX80684I58500,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,3 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,No
AMD Ryzen 3 2200G 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/RkJtt6/amd-ryzen-3-2200g-35ghz-quad-core-processor-yd2200c5fbbox,,11676.0,AMD,YD2200C5FBBOX,AMD Ryzen 3,Zen,Raven Ridge,AM4,4,3.5 GHz,3.7 GHz,,,2 MB,4 MB,65 W,Radeon Vega 8,,No,Yes,Boxed,14 nm,Yes,No
Intel Core i7-10700KF 3.8 GHz 8-Core Processor,,https://pcpartpicker.com/product/sT3mP6/intel-core-i7-10700kf-38-ghz-8-core-processor-bx8070110700kf,,37893.0,Intel,BX8070110700KF,Intel Core i7,Comet Lake,Comet Lake,LGA1200,8,3.8 GHz,5.1 GHz,,,2 MB,16 MB,125 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-7400 3 GHz Quad-Core Processor,,https://pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,,16347.0,Intel,BX80677I57400,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,3 GHz,3.5 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,No
