Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,HDMI 2.1b Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,DisplayPort 2.1a Outputs,DisplayPort 2.1b Outputs,SLI/CrossFire
Gigabyte AERO OC GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/d2ea22b3d105281f51a95dd6f5160bea.256p.jpg,https://pcpartpicker.com/product/xkwD4D/gigabyte-aero-oc-geforce-rtx-5060-ti-16-gb-video-card-gv-n506taero-oc-16gd,97175.0,Gigabyte,GV-N506TAERO OC-16GD,GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2647 MHz,,PCIe x16,White / Silver,G-Sync,281 mm,180 W,2,2,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Sapphire PULSE Radeon RX 9060 XT 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/534998b9b9d6c9c2c68fbdfbcc9295af.256p.jpg,https://pcpartpicker.com/product/DgFCmG/sapphire-pulse-radeon-rx-9060-xt-8-gb-video-card-11350-04-20g,57850.0,Sapphire,11350-04-20G,Radeon RX 9060 XT,8 GB,GDDR6,2220 MHz,3290 MHz,,PCIe x16,Black,FreeSync,240 mm,170 W,2,3,2 Fans,1 x PCIe 8-pin,,,,,2.0,,,,1.0,,
Gigabyte GAMING OC GeForce RTX 3060 Ti 8 GB Video Card,,https://pcpartpicker.com/product/b6TzK8/gigabyte-geforce-rtx-3060-ti-8-gb-gaming-oc-video-card-gv-n306tgaming-oc-8gd,106221.0,Gigabyte,GV-N306TGAMING OC-8GD,GeForce RTX 3060 Ti,8 GB,GDDR6,1410 MHz,1740 MHz,1400 MHz,PCIe x16,Black / Silver,G-Sync,282 mm,200 W,2,2,3 Fans,1 x PCIe 8-pin,2.0,2.0,,,,,,,,,
Sapphire PULSE Radeon RX 6700 XT 12 GB Video Card,,https://pcpartpicker.com/product/xf92FT/sapphire-radeon-rx-6700-xt-12-gb-pulse-video-card-11306-02-20g,52432.0,Sapphire,11306-02-20G,Radeon RX 6700 XT,12 GB,GDDR6,2321 MHz,2581 MHz,16000 MHz,PCIe x16,Black,FreeSync,260 mm,230 W,2,3,2 Fans,1 x PCIe 8-pin + 1 x PCIe 6-pin,1.0,3.0,,,,,,,,,
ASRock Challenger OC Arc B570 10 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/8bb6435d826d9299772411dfe3cec371.256p.jpg,https://pcpartpicker.com/product/2D4Pxr/asrock-challenger-oc-arc-b570-10-gb-video-card-b570-cl-10go,34214.0,ASRock,"B570 CL 10GO, 90-GA5KZZ-00UANF",Arc B570,10 GB,GDDR6,2500 MHz,2600 MHz,,PCIe x16,Black,,249 mm,150 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,,,,3.0,,,
Sapphire PULSE Radeon RX 7600 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/802742eb7317f7d07579cc552bd96c35.256p.jpg,https://pcpartpicker.com/product/JYzXsY/sapphire-pulse-radeon-rx-7600-xt-16-gb-video-card-11339-04-20g,56636.0,Sapphire,11339-04-20G,Radeon RX 7600 XT,16 GB,GDDR6,1720 MHz,2810 MHz,,PCIe x16,Black / Red,FreeSync,250 mm,190 W,2,3,2 Fans,2 x PCIe 8-pin,,,,,,,,3.0,,,
EVGA FTW3 ULTRA GAMING GeForce RTX 3070 Ti 8 GB Video Card,https://m.media-amazon.com/images/I/41wNSzchLVS.jpg,https://pcpartpicker.com/product/M2rRsY/evga-geforce-rtx-3070-ti-8-gb-ftw3-ultra-gaming-video-card-08g-p5-3797-kl,89216.0,EVGA,08G-P5-3797-KL,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1860 MHz,19000 MHz,PCIe x16,Black,G-Sync,300 mm,290 W,2,3,3 Fans,2 x PCIe 8-pin,1.0,3.0,,,,,,,,,
MSI GAMING TRIO OC GeForce RTX 5080 16 GB Video Card,,https://pcpartpicker.com/product/RGG2FT/msi-gaming-trio-oc-geforce-rtx-5080-16-gb-video-card-geforce-rtx-5080-16g-gaming-trio-oc-white,210194.0,MSI,"GeForce RTX 5080 16G GAMING TRIO OC WHITE, RTX 5080 16G GAMING TRIO OC WHITE, G5080-16GTCW, V531-045R, 912-V531-049",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,,,PCIe x16,White / Silver,G-Sync,338 mm,360 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Zotac GAMING SOLID CORE OC GeForce RTX 5080 16 GB Video Card,,https://pcpartpicker.com/product/WDzp99/zotac-gaming-solid-core-oc-geforce-rtx-5080-16-gb-video-card-zt-b50800j2-10p,268323.0,Zotac,"ZT-B50800J2-10P, VC-ZT-B50800J2-10P",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,2640 MHz,,PCIe x16,Black / Copper,G-Sync,304 mm,360 W,3,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Zotac GAMING SOLID OC GeForce RTX 5070 12 GB Video Card,,https://pcpartpicker.com/product/QKXMnQ/zotac-gaming-solid-oc-geforce-rtx-5070-12-gb-video-card-zt-b50700j-10p,97881.0,Zotac,ZT-B50700J-10P,GeForce RTX 5070,12 GB,GDDR7,2160 MHz,2542 MHz,,PCIe x16,Black / Copper,G-Sync,304 mm,250 W,2,2,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
