Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,HDMI 2.1b Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,DisplayPort 2.1a Outputs,DisplayPort 2.1b Outputs,SLI/CrossFire
MSI GAMING X GeForce RTX 2060 SUPER 8 GB Video Card,,https://pcpartpicker.com/product/Wzyqqs/msi-geforce-rtx-2060-super-8-gb-gaming-x-video-card-rtx-2060-super-gaming-x,,MSI,"RTX 2060 SUPER GAMING X, GeForce RTX 2060 SUPER GAMING X, G206S-GX",GeForce RTX 2060 SUPER,8 GB,GDDR6,1470 MHz,1695 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,248 mm,175 W,2,3,2 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
Gigabyte GAMING GeForce GTX 1080 8 GB Video Card,https://m.media-amazon.com/images/I/41lXcLke4GL.jpg,https://pcpartpicker.com/product/3fvZxr/gigabyte-video-card-gvn1080g1gaming8gd,44258.0,Gigabyte,GV-N1080G1 GAMING-8GD,GeForce GTX 1080,8 GB,GDDR5X,1721 MHz,1860 MHz,10010 MHz,PCIe x16,Black / Orange,G-Sync,286 mm,180 W,2,2,3 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,2-way SLI Capable
EVGA XC3 ULTRA GAMING GeForce RTX 3070 8 GB Video Card,,https://pcpartpicker.com/product/7j6qqs/evga-geforce-rtx-3070-8-gb-xc3-ultra-gaming-video-card-08g-p5-3755-kr,49126.0,EVGA,08G-P5-3755-KR,GeForce RTX 3070,8 GB,GDDR6,1500 MHz,1770 MHz,14000 MHz,PCIe x16,Black / Silver,G-Sync,285 mm,220 W,2,3,3 Fans,2 x PCIe 8-pin,1.0,3.0,,,,,,,,,
MSI GAMING TRIO OC GeForce RTX 5060 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/e10dfa955c8be16fe857886b871b51cd.256p.jpg,https://pcpartpicker.com/product/vvZWGX/msi-gaming-trio-oc-geforce-rtx-5060-8-gb-video-card-rtx-5060-8g-gaming-trio-oc-white,43206.0,MSI,"RTX 5060 8G GAMING TRIO OC WHITE, G5060-8GTCW",GeForce RTX 5060,8 GB,GDDR7,2280 MHz,2640 MHz,28000 MHz,PCIe x16,White,G-Sync,300 mm,145 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Asus DUAL OC GeForce RTX 4060 Ti 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/9d924ea894f7a9c206bb6cd8c71a4ced.256p.jpg,https://pcpartpicker.com/product/2TMMnQ/asus-dual-oc-geforce-rtx-4060-ti-8-gb-video-card-dual-rtx4060ti-o8g,55759.0,Asus,"DUAL-RTX4060TI-O8G, 90YV0J40-M0NA00",GeForce RTX 4060 Ti,8 GB,GDDR6,2310 MHz,2595 MHz,,PCIe x16,Black,G-Sync,227 mm,165 W,2,3,2 Fans,1 x PCIe 8-pin,,,,1.0,,,3.0,,,,
MSI GTX 1050 Ti 4GT OC GeForce GTX 1050 Ti 4 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/1085f0f0294e6eb6340c70bf6324a9f8.256p.jpg,https://pcpartpicker.com/product/x7s8TW/msi-geforce-gtx-1050-ti-4gb-video-card-gtx-1050-ti-4gt-oc,30827.0,MSI,"GTX 1050 Ti 4GT OC, GEFORCE GTX 1050 TI 4GT OC, V809-2277R",GeForce GTX 1050 Ti,4 GB,GDDR5,1341 MHz,1455 MHz,7000 MHz,PCIe x16,Black / White,G-Sync,215 mm,75 W,2,2,2 Fans,,1.0,1.0,1.0,,,,,,,,
Asus TUF GAMING OC GeForce RTX 4070 Ti 12 GB Video Card,,https://pcpartpicker.com/product/rdjBD3/asus-tuf-gaming-oc-geforce-rtx-4070-ti-12-gb-video-card-tuf-rtx4070ti-o12g-gaming,145852.0,Asus,"TUF-RTX4070TI-O12G-GAMING, 90YV0IJ0-M0NA00",GeForce RTX 4070 Ti,12 GB,GDDR6X,2310 MHz,2760 MHz,,PCIe x16,Black,G-Sync,305 mm,285 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,2.0,,,3.0,,,,
Palit GamingPro GeForce RTX 5080 16 GB Video Card,,https://pcpartpicker.com/product/wV62FT/palit-gamingpro-geforce-rtx-5080-16-gb-video-card-ne75080019t2-gb2031a,,Palit,NE75080019T2-GB2031A,GeForce RTX 5080,16 GB,GDDR7,2295 MHz,2617 MHz,,PCIe x16,Black,G-Sync,332 mm,360 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Gigabyte GAMING OC GeForce RTX 5050 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/71e5344b7af5c05f65289913712a9dcc.256p.jpg,https://pcpartpicker.com/product/4m2j4D/gigabyte-gaming-oc-geforce-rtx-5050-8-gb-video-card-gv-n5050gaming-oc-8gd,30944.0,Gigabyte,GV-N5050GAMING OC-8GD,GeForce RTX 5050,8 GB,GDDR6,2317 MHz,2632 MHz,,PCIe x16,Black,G-Sync,280 mm,130 W,2,2,3 Fans,1 x PCIe 8-pin,,,,,2.0,,,,,2.0,
Gigabyte AORUS XTREME WATERFORCE GeForce RTX 5090 32 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/cd6c40012f6ad9665164a6c62121d333.256p.jpg,https://pcpartpicker.com/product/RRTFf7/gigabyte-aorus-xtreme-waterforce-geforce-rtx-5090-32-gb-video-card-gv-n5090aorusx-w-32gd,626124.0,Gigabyte,GV-N5090AORUSX W-32GD,GeForce RTX 5090,32 GB,GDDR7,2010 MHz,2655 MHz,,PCIe x16,Black,G-Sync,246 mm,575 W,2,2,360 mm Radiator,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
ASRock Intel Arc A380 Challenger ITX Arc A380 6 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/c887172d5b7e8f6241c60d0c42cf358d.256p.jpg,https://pcpartpicker.com/product/6zqPxr/asrock-intel-arc-a380-challenger-itx-arc-a380-6-gb-video-card-a380-cli-6go,16347.0,ASRock,"A380 CLI 6GO, 90-GA3KZZ-00UANF, A380 CLI 6G OC",Arc A380,6 GB,GDDR6,2250 MHz,,,PCIe x16,Black,,190 mm,75 W,2,2,1 Fan,1 x PCIe 8-pin,,,,,,,,,,,
XFX Speedster SWFT 210 Core Radeon RX 7800 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/021b83fb00561220f4bae574cad76a23.256p.jpg,https://pcpartpicker.com/product/7WWJ7P/xfx-speedster-swft-210-core-radeon-rx-7800-xt-16-gb-video-card-rx-78tswftfp,52548.0,XFX,RX-78TSWFTFP,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2430 MHz,19500 MHz,PCIe x16,Black,FreeSync,283 mm,263 W,2,3,2 Fans,2 x PCIe 8-pin,,,,,,,,3.0,,,
MSI GAMING TRIO OC WHITE GeForce RTX 5070 12 GB Video Card,,https://pcpartpicker.com/product/LkdMnQ/msi-gaming-trio-oc-white-geforce-rtx-5070-12-gb-video-card-geforce-rtx-5070-12g-gaming-trio-oc-white,81741.0,MSI,"GeForce RTX 5070 12G GAMING TRIO OC WHITE, RTX 5070 12G GAMING TRIO OC WHITE, G5070-12GTCW, V532-021R, 912-V532-031",GeForce RTX 5070,12 GB,GDDR7,2160 MHz,,,PCIe x16,White,G-Sync,338 mm,250 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Sparkle ECO Arc A310 4 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/00fae7f0e55f54fcd95aaee6f097404c.256p.jpg,https://pcpartpicker.com/product/nj7scf/sparkle-eco-arc-a310-4-gb-video-card-sa310c-4g,20054.0,Sparkle,"SA310C-4G, 1A1-S00401900G",Arc A310,4 GB,GDDR6,1750 MHz,1000 MHz,,PCIe x16,Blue,,156 mm,50 W,1,1,1 Fan,,,,,,,,,,,,
PNY ARGB EPIC-X RGB OC GeForce RTX 5080 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/a80c21ceedea8021d7b2efdade387f44.256p.jpg,https://pcpartpicker.com/product/mYgZxr/pny-argb-epic-x-rgb-oc-geforce-rtx-5080-16-gb-video-card-vcg508016tfxxpb1-o,177497.0,PNY,VCG508016TFXXPB1-O,GeForce RTX 5080,16 GB,GDDR7,2300 MHz,2780 MHz,,PCIe x16,Black,G-Sync,329 mm,360 W,3,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Asus Noctua OC GeForce RTX 5080 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/9c761920b2a887f4ec27dad9eb6e6efd.256p.jpg,https://pcpartpicker.com/product/hvm2FT/asus-noctua-oc-geforce-rtx-5080-16-gb-video-card-rtx5080-o16g-noctua,231098.0,Asus,"rtx5080-o16g-noctua, 90YV0M32-M0NA00, 90YV0M32-MVAA00",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,2730 MHz,,PCIe x16,Brown / Silver,G-Sync,385 mm,360 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,2.0,,,,,3.0,
MSI GeForce GTX 1060 6GT OCV1 GeForce GTX 1060 6GB 6 GB Video Card,,https://pcpartpicker.com/product/TrGj4D/msi-geforce-gtx-1060-6gb-6gb-gt-ocv1-video-card-geforce-gtx-1060-6gt-ocv1,,MSI,"GeForce GTX 1060 6GT OCV1, GTX 1060 6GT OCV1",GeForce GTX 1060 6GB,6 GB,GDDR5,1544 MHz,1759 MHz,8008 MHz,PCIe x16,Black / White,G-Sync,243 mm,120 W,2,2,2 Fans,1 x PCIe 6-pin,1.0,1.0,1.0,,,,,,,,
Palit Infinity 3 GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/36225a841e9616ab2a76d38b5036edac.256p.jpg,https://pcpartpicker.com/product/nXG2FT/palit-infinity-3-geforce-rtx-5060-ti-16-gb-video-card-ne7506t019t1-gb2061s,86519.0,Palit,NE7506T019T1-GB2061S,GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2572 MHz,,PCIe x16,Black,G-Sync,292 mm,180 W,2,2,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
NVIDIA Founders Edition GeForce RTX 4070 SUPER 12 GB Video Card,,https://pcpartpicker.com/product/QHDQzy/nvidia-founders-edition-geforce-rtx-4070-super-12-gb-video-card-900-1g141-2534-000,,NVIDIA,900-1G141-2534-000,GeForce RTX 4070 SUPER,12 GB,GDDR6X,1980 MHz,2480 MHz,,PCIe x16,Black / Silver,G-Sync,244 mm,220 W,2,2,2 Fans,1 x PCIe 16-pin 12VHPWR,,,,,,3.0,,,,,
Zotac GAMING Twin Edge OC GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/ced8bae104ecb0197f51013aa59737fb.256p.jpg,https://pcpartpicker.com/product/ysWmP6/zotac-gaming-twin-edge-oc-geforce-rtx-5060-ti-16-gb-video-card-zt-b50620q-10m,,Zotac,ZT-B50620Q-10M,GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2602 MHz,28000 MHz,PCIe x16,White / Gold,G-Sync,220 mm,180 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Asus PRIME OC Radeon RX 9060 XT 8 GB Video Card,,https://pcpartpicker.com/product/v92j4D/asus-prime-oc-radeon-rx-9060-xt-8-gb-video-card-prime-rx9060xt-o8g,52983.0,Asus,"PRIME-RX9060XT-O8G, 90YV0MI0-M0NA00",Radeon RX 9060 XT,8 GB,GDDR6,2220 MHz,3330 MHz,,PCIe x16,Black,FreeSync,304 mm,160 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,2.0,,
Sapphire PURE Radeon RX 9060 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/6e3efb862da2031d2fd9092a822cc4d4.256p.jpg,https://pcpartpicker.com/product/CXJBD3/sapphire-pure-radeon-rx-9060-xt-16-gb-video-card-11350-02-20g,80957.0,Sapphire,11350-02-20G,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3290 MHz,,PCIe x16,Black,FreeSync,240 mm,170 W,2,3,2 Fans,1 x PCIe 8-pin,,,,,2.0,,,,1.0,,
Gigabyte AERO OC GeForce RTX 5060 8 GB Video Card,,https://pcpartpicker.com/product/Kx9nTW/gigabyte-aero-oc-geforce-rtx-5060-8-gb-video-card-gv-n5060aero-oc-8gd,39036.0,Gigabyte,GV-N5060AERO OC-8GD,GeForce RTX 5060,8 GB,GDDR7,2280 MHz,,28000 MHz,PCIe x16,Silver,G-Sync,281 mm,145 W,2,2,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
MSI D4 LP OC GeForce GT 1030 DDR4 4 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/9aa643dcd83553ff4c6359517a07a70c.256p.jpg,https://pcpartpicker.com/product/NjJp99/msi-d4-lp-oc-geforce-gt-1030-ddr4-4-gb-video-card-gt-1030-4gd4-lp-oc,12260.0,MSI,GT 1030 4GD4 LP OC,GeForce GT 1030 DDR4,4 GB,DDR4,1151 MHz,1430 MHz,2100 MHz,PCIe x16,Black,,150 mm,20 W,1,1,1 Fan,,,,,,,,1.0,,,,
MSI GeForce RTX 3080 VENTUS 3X 10G OC GeForce RTX 3080 10GB 10 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/3c166cd7b1f49475c3b8295799a11af5.256p.jpg,https://pcpartpicker.com/product/ZTkgXL/msi-geforce-rtx-3080-10-gb-ventus-3x-oc-video-card-rtx-3080-ventus-3x-10g-oc,116774.0,MSI,"RTX 3080 VENTUS 3X 10G OC, GeForce RTX 3080 VENTUS 3X 10G OC",GeForce RTX 3080 10GB,10 GB,GDDR6X,1440 MHz,,,PCIe x16,Black,G-Sync,305 mm,320 W,2,3,3 Fans,2 x PCIe 8-pin,1.0,3.0,,,,,,,,,
MSI SUPRIM SOC GeForce RTX 5090 32 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/2795d47cf28435579c736f8422232f4e.256p.jpg,https://pcpartpicker.com/product/bjy8TW/msi-suprim-soc-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-32g-suprim-soc,502131.0,MSI,"GeForce RTX 5090 32G SUPRIM SOC, G5090-32SPS, RTX 5090 32G SUPRIM SOC, 912-V530-012, V530-026R",GeForce RTX 5090,32 GB,GDDR7,2010 MHz,,,PCIe x16,Black / Silver,G-Sync,359 mm,575 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
XFX Mercury OC RGB Radeon RX 9070 XT 16 GB Video Card,https://m.media-amazon.com/images/I/41xMn3VfRZL.jpg,https://pcpartpicker.com/product/g34Pxr/xfx-mercury-oc-rgb-radeon-rx-9070-xt-16-gb-video-card-rx-97trgbbw9,96922.0,XFX,RX-97TRGBBW9,Radeon RX 9070 XT,16 GB,GDDR6,1870 MHz,3100 MHz,20000 MHz,PCIe x16,White,FreeSync,360 mm,304 W,3,4,3 Fans,3 x PCIe 8-pin,,,,,,,,3.0,,,
NVIDIA Founders Edition GeForce RTX 3070 Ti 8 GB Video Card,,https://pcpartpicker.com/product/QNvdnQ/nvidia-geforce-rtx-3070-ti-8-gb-founders-edition-video-card-900-1g143-2515-000,,NVIDIA,900-1G143-2515-000,GeForce RTX 3070 Ti,8 GB,GDDR6X,1575 MHz,1770 MHz,19000 MHz,PCIe x16,Black,G-Sync,267 mm,290 W,2,2,2 Fans,1 x PCIe 12-pin,1.0,3.0,,,,,,,,,
XFX Speedster SWFT 210 Radeon RX 6600 8 GB Video Card,,https://pcpartpicker.com/product/wdvdnQ/xfx-radeon-rx-6600-8-gb-speedster-swft-210-video-card-rx-66xl8lfdq,29193.0,XFX,RX-66XL8LFDQ,Radeon RX 6600,8 GB,GDDR6,1626 MHz,2491 MHz,,PCIe x16,Black,FreeSync,241 mm,132 W,2,2,2 Fans,1 x PCIe 8-pin,1.0,3.0,,,,,,,,,
Gigabyte WINDFORCE GeForce RTX 5060 Ti 8 GB PCIe x8 Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/b834c78c6c238f34c74b4119d807ff8a.256p.jpg,https://pcpartpicker.com/product/zGjv6h/gigabyte-windforce-geforce-rtx-5060-ti-8-gb-pcie-x8-video-card-gv-n506twf2-8gd,46313.0,Gigabyte,GV-N506TWF2-8GD,GeForce RTX 5060 Ti,8 GB,GDDR7,2410 MHz,2572 MHz,,PCIe x8,Black,G-Sync,208 mm,180 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Asus TUF GAMING GeForce RTX 5080 16 GB Video Card,,https://pcpartpicker.com/product/txYfrH/asus-tuf-gaming-geforce-rtx-5080-16-gb-video-card-tuf-rtx5080-16g-gaming,163484.0,Asus,"TUF-RTX5080-16G-GAMING, 90YV0M31-M0NA00",GeForce RTX 5080,16 GB,GDDR7,2300 MHz,,,PCIe x16,Black / Silver,G-Sync,348 mm,360 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,2.0,,,,,3.0,
Gigabyte WINDFORCE MAX OC GeForce RTX 5060 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/a44f4fd3839e569ebf9cc5a04cae3420.256p.jpg,https://pcpartpicker.com/product/qVgZxr/gigabyte-windforce-max-oc-geforce-rtx-5060-8-gb-video-card-gv-n5060wf2max-oc-8gd,54346.0,Gigabyte,GV-N5060WF2MAX OC-8GD,GeForce RTX 5060,8 GB,GDDR7,2280 MHz,2512 MHz,,PCIe x16,Black,G-Sync,199 mm,145 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Asus ROG STRIX-GTX1070-O8G-GAMING GeForce GTX 1070 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/02271e25bf612e7c8d8945b61d313139.256p.jpg,https://pcpartpicker.com/product/j8rcCJ/asus-geforce-gtx-1070-8gb-video-card-rog-strix-gtx1070-o8g-gaming,37368.0,Asus,"ROG STRIX-GTX1070-O8G-GAMING, STRIX-GTX1070-O8G-GAMING, 90YV09N0-M0NA00",GeForce GTX 1070,8 GB,GDDR5,1632 MHz,1860 MHz,8000 MHz,PCIe x16,Black,G-Sync,298 mm,150 W,2,2,3 Fans,1 x PCIe 8-pin,2.0,2.0,1.0,,,,,,,,2-way SLI Capable
Gigabyte GAMING OC GeForce RTX 4060 8 GB Video Card,,https://pcpartpicker.com/product/8h3NnQ/gigabyte-gaming-oc-geforce-rtx-4060-8-gb-video-card-gv-n4060gaming-oc-8gd,55935.0,Gigabyte,GV-N4060GAMING OC-8GD,GeForce RTX 4060,8 GB,GDDR6,1830 MHz,,,PCIe x16,Black,G-Sync,281 mm,115 W,2,2,3 Fans,1 x PCIe 8-pin,,,,2.0,,,2.0,,,,
MSI GeForce RTX 2060 VENTUS GP OC GeForce RTX 2060 6 GB Video Card,https://m.media-amazon.com/images/I/4160TRnJpqL.jpg,https://pcpartpicker.com/product/3ZrRsY/msi-geforce-rtx-2060-6-gb-ventus-gp-oc-video-card-rtx-2060-ventus-gpoc,34916.0,MSI,"RTX 2060 VENTUS GPOC, GeForce RTX 2060 VENTUS GP OC, V375-231R, 912-V375-623",GeForce RTX 2060,6 GB,GDDR6,1365 MHz,1710 MHz,14000 MHz,PCIe x16,Gray / Black,G-Sync,231 mm,160 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,,,3.0,,,,
Sapphire NITRO+ Radeon RX 7900 XTX 24 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/c4b5d01ef7e75bca37fc28846e827143.256p.jpg,https://pcpartpicker.com/product/F3fnTW/sapphire-nitro-radeon-rx-7900-xtx-24-gb-video-card-11322-01-20g,,Sapphire,"11322-01-20G, 11322-01-40G",Radeon RX 7900 XTX,24 GB,GDDR6,2300 MHz,2680 MHz,,PCIe x16,Silver / Black,FreeSync,320 mm,420 W,3,4,3 Fans,3 x PCIe 8-pin,,,,,,,,2.0,,,
ASRock Challenger OC Arc A580 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/6e94986c1f9fb64179e48096de8f2371.256p.jpg,https://pcpartpicker.com/product/VzCZxr/asrock-challenger-oc-arc-a580-8-gb-video-card-a580-cl-8go,23354.0,ASRock,"A580 CL 8GO, 90-GA3JZZ-00UANF",Arc A580,8 GB,GDDR6,1700 MHz,2000 MHz,,PCIe x16,Black,,271 mm,175 W,2,3,2 Fans,2 x PCIe 8-pin,,,,,,,,,,,
MSI GAMING TRIO OC GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/d6d13044fed1e1d91067071e68e9dd75.256p.jpg,https://pcpartpicker.com/product/PYWmP6/msi-gaming-trio-oc-geforce-rtx-5060-ti-16-gb-video-card-g506t-16gtc,64225.0,MSI,"G506T-16GTC, RTX 5060 Ti 16G GAMING TRIO OC, V535-001R, GeForce RTX 5060 Ti 16G GAMING TRIO OC",GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2662 MHz,28000 MHz,PCIe x16,Black,G-Sync,300 mm,180 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Asus DUAL EVO OC GeForce RTX 4060 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg,https://pcpartpicker.com/product/rQQKHx/asus-dual-evo-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g-evo,54883.0,Asus,"DUAL-RTX4060-O8G-EVO, 90YV0JC7-M0NA00, 90YV0JC7-MVAA00",GeForce RTX 4060,8 GB,GDDR6,1830 MHz,2535 MHz,,PCIe x16,Black,G-Sync,227 mm,115 W,2,3,2 Fans,1 x PCIe 8-pin,,,,1.0,,,3.0,,,,
MSI INSPIRE 3X OC GeForce RTX 5070 Ti 16 GB Video Card,,https://pcpartpicker.com/product/Fdvscf/msi-inspire-3x-oc-geforce-rtx-5070-ti-16-gb-video-card-geforce-rtx-5070-ti-16g-inspire-3x-oc,99258.0,MSI,"GeForce RTX 5070 Ti 16G INSPIRE 3X OC, G507T-16I3C, RTX 5070 Ti 16G INSPIRE 3X OC, V531-245R",GeForce RTX 5070 Ti,16 GB,GDDR7,2300 MHz,2497 MHz,,PCIe x16,Gold / Black,G-Sync,288 mm,300 W,2,3,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
PNY OC GeForce RTX 5060 8 GB Video Card,,https://pcpartpicker.com/product/8NgZxr/pny-oc-geforce-rtx-5060-8-gb-video-card-vcg50608dfxpb1-o,44867.0,PNY,VCG50608DFXPB1-O,GeForce RTX 5060,8 GB,GDDR7,2280 MHz,2535 MHz,,PCIe x16,Black,G-Sync,200 mm,145 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
XFX Quicksilver Radeon RX 9070 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/ebf432c454d8993028e4b9dfdbe3f319.256p.jpg,https://pcpartpicker.com/product/389nTW/xfx-quicksilver-radeon-rx-9070-xt-16-gb-video-card-rx-97tqickb9,113852.0,XFX,RX-97TQICKB9,Radeon RX 9070 XT,16 GB,GDDR6,2400 MHz,2970 MHz,20000 MHz,PCIe x16,Black,FreeSync,350 mm,304 W,2,4,3 Fans,2 x PCIe 8-pin,,,,,,,,3.0,,,
XFX Speedster QICK 319 Core Radeon RX 7800 XT 16 GB Video Card,https://m.media-amazon.com/images/I/31wu10Ja0IL.jpg,https://pcpartpicker.com/product/V7Kscf/xfx-speedster-qick-319-core-radeon-rx-7800-xt-16-gb-video-card-rx-78tqickw9,58386.0,XFX,RX-78TQICKW9,Radeon RX 7800 XT,16 GB,GDDR6,1295 MHz,2430 MHz,,PCIe x16,White,FreeSync,335 mm,263 W,2,3,3 Fans,2 x PCIe 8-pin,,,,,,,,3.0,,,
Asus PRIME Radeon RX 9070 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/48bd2a9eef5a63f3be96178cf9b68420.256p.jpg,https://pcpartpicker.com/product/c7pD4D/asus-prime-radeon-rx-9070-xt-16-gb-video-card-prime-rx9070xt-16g,,Asus,"PRIME-RX9070XT-16G, 90YV0L72-M0AA00",Radeon RX 9070 XT,16 GB,GDDR6,2460 MHz,2990 MHz,,PCIe x16,Black,FreeSync,312 mm,304 W,2,3,3 Fans,3 x PCIe 8-pin,,,,,,,,,3.0,,
MSI VENTUS 3X OC GeForce RTX 4070 12 GB Video Card,,https://pcpartpicker.com/product/9ZZXsY/msi-ventus-3x-oc-geforce-rtx-4070-12-gb-video-card-rtx-4070-ventus-3x-12g-oc,127869.0,MSI,"RTX 4070 VENTUS 3X 12G OC, GeForce RTX 4070 VENTUS 3X 12G OC, V513-057R",GeForce RTX 4070,12 GB,GDDR6X,1920 MHz,,2520 MHz,PCIe x16,Silver / Black,G-Sync,308 mm,200 W,2,2,3 Fans,1 x PCIe 8-pin,,,,1.0,,,3.0,,,,
NVIDIA Founders Edition GeForce GTX 1080 8 GB Video Card,,https://pcpartpicker.com/product/FdH48d/nvidia-geforce-gtx-1080-8-gb-founders-edition-video-card-9001g4132500001,40754.0,NVIDIA,9001G4132500001,GeForce GTX 1080,8 GB,GDDR5X,1607 MHz,1733 MHz,10000 MHz,PCIe x16,Black / Silver,G-Sync,267 mm,180 W,2,2,1 Fan,1 x PCIe 8-pin,1.0,3.0,1.0,,,,,,,,2-way SLI Capable
XFX Speedster SWFT 319 Radeon RX 6800 16 GB Video Card,https://m.media-amazon.com/images/I/41aCdMMAvYL.jpg,https://pcpartpicker.com/product/Hg92FT/xfx-radeon-rx-6800-16-gb-speedster-swft-319-video-card-rx-68xlaqfd9,,XFX,RX-68XLAQFD9,Radeon RX 6800,16 GB,GDDR6,1700 MHz,2105 MHz,16000 MHz,PCIe x16,Black,FreeSync,340 mm,250 W,2,3,3 Fans,2 x PCIe 8-pin,,,,,,3.0,,,,,
Gigabyte EAGLE OC GeForce RTX 5060 Ti 16 GB PCIe x8 Video Card,,https://pcpartpicker.com/product/WjWmP6/gigabyte-eagle-oc-geforce-rtx-5060-ti-16-gb-pcie-x8-video-card-gv-n506teagleoc-ice-16gd,56635.0,Gigabyte,GV-N506TEAGLEOC ICE-16GD,GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2617 MHz,,PCIe x8,White / Silver,G-Sync,215 mm,180 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Sparkle TITAN OC Arc B580 12 GB Video Card,,https://pcpartpicker.com/product/jMnXsY/sparkle-titan-oc-arc-b580-12-gb-video-card-sb580t-12goc,37242.0,Sparkle,"SB580T-12GOC, 1A1-S00421500G",Arc B580,12 GB,GDDR6,2670 MHz,2740 MHz,,PCIe x16,Blue / White,,317 mm,200 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,,,,3.0,,,
