Name,Image URL,Product URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number,Scraped At
Patriot Viper Venom 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg,https://pcpartpicker.com/product/8fWzK8/patriot-viper-venom-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-pvv532g600c36k,40286.0,Patriot,PVV532G600C36K,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$10.279,Black / White,12 ns,36.0,1.25 V,36-36-36-76,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:02.338Z
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory,,https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18,29718.0,Corsair,CMK32GX4M2D3600C18,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$6.562,Black / Yellow,10 ns,18.0,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:02.338Z
TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/2Bnypg/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tlzgd416g3200hc16fdc01,16347.0,TEAMGROUP,TLZGD416G3200HC16FDC01,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,$8.749,Gray,10 ns,16.0,1.35 V,16-20-20-40,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:04.330Z
Patriot Viper Venom 16 GB (2 x 8 GB) DDR5-6000 CL36 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/8336089b3001d3eb49e18c1cf3bb6bc4.256p.jpg,https://pcpartpicker.com/product/pYm2FT/patriot-viper-venom-16-gb-2-x-8-gb-ddr5-6000-cl36-memory-pvv516g600c36gk,23354.0,Patriot,PVV516G600C36GK,DDR5-6000,288-pin DIMM (DDR5),2 x 8GB,$12.499,Black / Silver,12 ns,36.0,1.35 V,36-36-36-76,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:08.334Z
G.Skill Flare X5 16 GB (1 x 16 GB) DDR5-6000 CL36 Memory,,https://pcpartpicker.com/product/yL7MnQ/gskill-flare-x5-16-gb-1-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx1-fx5,,G.Skill,F5-6000J3636F16GX1-FX5,DDR5-6000,288-pin DIMM (DDR5),1 x 16GB,,Black,12 ns,36.0,1.35 V,36-36-36-96,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:09.338Z
Corsair Vengeance LPX 8 GB (1 x 8 GB) DDR4-2400 CL16 Memory,,https://pcpartpicker.com/product/sMbkcf/corsair-memory-cmk8gx4m1a2400c16,9573.0,Corsair,CMK8GX4M1A2400C16,DDR4-2400,288-pin DIMM (DDR4),1 x 8GB,$10.248,Black / Yellow,13.333 ns,16.0,1.2 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:12.335Z
Kingston FURY Beast RGB 16 GB (2 x 8 GB) DDR5-6000 CL36 Memory,,https://pcpartpicker.com/product/nycgXL/kingston-fury-beast-rgb-16-gb-2-x-8-gb-ddr5-6000-cl36-memory-kf560c36bbeak2-16,,Kingston,KF560C36BBEAK2-16,DDR5-6000,288-pin DIMM (DDR5),2 x 8GB,,Black,12 ns,36.0,1.35 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:12.336Z
Kingston FURY Beast 8 GB (1 x 8 GB) DDR5-5600 CL40 Memory,,https://pcpartpicker.com/product/tz3gXL/kingston-fury-beast-8-gb-1-x-8-gb-ddr5-5600-cl40-memory-kf556c40bb-8,19748.0,Kingston,KF556C40BB-8,DDR5-5600,288-pin DIMM (DDR5),1 x 8GB,$9.998,Black,14.286 ns,40.0,1.25 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:13.339Z
Silicon Power SP016GLLTU160N22 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory,,https://pcpartpicker.com/product/yvZ9TW/silicon-power-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-sp016glltu160n22,3969.0,Silicon Power,SP016GLLTU160N22,DDR3-1600,240-pin DIMM (DDR3),2 x 8GB,$2.124,Green,13.75 ns,11.0,1.35 V,,Non-ECC / Unbuffered,No,,2026-01-20T22:00:16.335Z
Corsair Vengeance LPX 64 GB (2 x 32 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/k2mFf7/corsair-vengeance-lpx-64-gb-2-x-32-gb-ddr4-3200-memory-cmk64gx4m2e3200c16,,Corsair,CMK64GX4M2E3200C16,DDR4-3200,288-pin DIMM (DDR4),2 x 32GB,,Black / Yellow,10 ns,16.0,1.35 V,16-20-20-38,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:16.337Z
Corsair Vengeance LPX 16 GB (1 x 16 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/PDmFf7/corsair-vengeance-lpx-16-gb-1-x-16-gb-ddr4-3200-memory-cmk16gx4m1e3200c16,15413.0,Corsair,CMK16GX4M1E3200C16,DDR4-3200,288-pin DIMM (DDR4),1 x 16GB,$8.249,Black / Yellow,10 ns,16.0,1.35 V,16-20-20-38,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:17.338Z
G.Skill F4-3200C16Q2-128GTZ 128 GB (8 x 16 GB) DDR4-3200 CL16 Memory,,https://pcpartpicker.com/product/NbmmP6/gskill-f4-3200c16q2-128gtz-128-gb-8-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16q2-128gtz,,G.Skill,F4-3200C16Q2-128GTZ,DDR4-3200,288-pin DIMM (DDR4),8 x 16GB,,Gray / Red,10 ns,16.0,1.35 V,16-18-18-38,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:20.337Z
G.Skill Trident Z5 Neo 128 GB (2 x 64 GB) DDR5-6000 CL32 Memory,,https://pcpartpicker.com/product/6My8TW/gskill-trident-z5-neo-128-gb-2-x-64-gb-ddr5-6000-cl32-memory-f5-6000j3244g64gx2-tz5nr,186839.0,G.Skill,F5-6000J3244G64GX2-TZ5NR,DDR5-6000,288-pin DIMM (DDR5),2 x 64GB,$12.500,Black,10.667 ns,32.0,1.4 V,32-44-44-96,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:20.338Z
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-2133 CL13 Memory,,https://pcpartpicker.com/product/PL2rxr/corsair-memory-cmk16gx4m2a2133c13,16464.0,Corsair,CMK16GX4M2A2133C13,DDR4-2133,288-pin DIMM (DDR4),2 x 8GB,$8.812,Black / Yellow,12.189 ns,13.0,1.2 V,13-15-15-28,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:21.339Z
Kingston Server Premier 32 GB (1 x 32 GB) DDR4-3200 CL22 Memory,,https://pcpartpicker.com/product/2pYmP6/kingston-server-premier-32-gb-1-x-32-gb-ddr4-3200-cl22-memory-ksm32ed832hc,41752.0,Kingston,KSM32ED8/32HC,DDR4-3200,288-pin DIMM (DDR4),1 x 32GB,$11.173,,13.75 ns,22.0,1.2 V,,ECC / Unbuffered,No,,2026-01-20T22:00:25.332Z
Kingston HyperX Fury 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/253be8362d567f55b4ce7672e42a6cb2.256p.jpg,https://pcpartpicker.com/product/QBrYcf/kingston-hyperx-fury-16-gb-2-x-8-gb-ddr4-3200-memory-hx432c16fb3k216,,Kingston,HX432C16FB3K2/16,DDR4-3200,288-pin DIMM (DDR4),2 x 8GB,,Black / Silver,10 ns,16.0,1.35 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:29.331Z
Kingston Server Premier 64 GB (1 x 64 GB) Registered DDR4-3200 CL22 Memory,,https://pcpartpicker.com/product/PnVmP6/kingston-server-premier-64-gb-1-x-64-gb-registered-ddr4-3200-cl22-memory-ksm32rd464hcr,140129.0,Kingston,KSM32RD4/64HCR,DDR4-3200,288-pin DIMM (DDR4),1 x 64GB,$17.930,,13.75 ns,22.0,1.2 V,,ECC / Registered,No,,2026-01-20T22:00:29.332Z
Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory,https://cdna.pcpartpicker.com/static/forever/images/product/9511975a18cb170eb65697fb23d8ad91.256p.jpg,https://pcpartpicker.com/product/q4vscf/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-kf560c36bbe2k2-32,68613.0,Kingston,KF560C36BBE2K2-32,DDR5-6000,288-pin DIMM (DDR5),2 x 16GB,$12.031,Black,12 ns,36.0,1.35 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:30.335Z
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory,,https://pcpartpicker.com/product/VNJtt6/corsair-16-gb-2-x-8-gb-ddr4-3600-memory-cmk16gx4m2d3600c18,18800.0,Corsair,CMK16GX4M2D3600C18,DDR4-3600,288-pin DIMM (DDR4),2 x 8GB,$10.062,Black,10 ns,18.0,1.35 V,18-22-22-42,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:33.330Z
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16 Memory,,https://pcpartpicker.com/product/zcH8TW/gskill-ripjaws-v-32-gb-2-x-16-gb-ddr4-3600-memory-f4-3600c16d-32gvkc,29193.0,G.Skill,F4-3600C16D-32GVKC,DDR4-3600,288-pin DIMM (DDR4),2 x 16GB,$7.812,Black,8.889 ns,16.0,1.35 V,16-19-19-39,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:34.333Z
Kingston FURY Beast 8 GB (1 x 8 GB) DDR5-5200 CL40 Memory,https://m.media-amazon.com/images/I/313qxEUl6KL.jpg,https://pcpartpicker.com/product/w4fnTW/kingston-fury-beast-8-gb-1-x-8-gb-ddr5-5200-cl40-memory-kf552c40bb-8,25241.0,Kingston,KF552C40BB-8,DDR5-5200,288-pin DIMM (DDR5),1 x 8GB,$27.019,Black,15.385 ns,40.0,1.25 V,,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:35.337Z
OLOy MD4U082619BBSA 8 GB (1 x 8 GB) DDR4-2666 CL19 Memory,https://m.media-amazon.com/images/I/3194vhXM0NL.jpg,https://pcpartpicker.com/product/3j3H99/oloy-8-gb-1-x-8-gb-ddr4-2666-memory-md4u082619bbsa,,OLOy,MD4U082619BBSA,DDR4-2666,288-pin DIMM (DDR4),1 x 8GB,,Red / Black,14.254 ns,19.0,1.2 V,19-19-19-43,Non-ECC / Unbuffered,Yes,,2026-01-20T22:00:38.334Z
