Name,Image URL,Product URL,Price,Manufacturer,Part #,Socket/CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x8 Slots,PCIe x4 Slots,PCIe x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,SATA 6.0 Gb/s,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Scraped At
MSI PRO B850-S WIFI6E ATX AM5 Motherboard,,https://pcpartpicker.com/product/GP7MnQ/msi-pro-b850-s-wifi6e-atx-am5-motherboard-pro-b850-s-wifi6e,17515.0,MSI,PRO B850-S WIFI6E,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4800, DDR5-8200",Black,2.0,,,1.0,,"2280/22110 M-key, 2260/2280 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek RTL8125),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:14:08.335Z
MSI PRO B650-S WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/a3020fc8322a2821927ed01af1155620.256p.jpg,https://pcpartpicker.com/product/mP88TW/msi-pro-b650-s-wifi-atx-am5-motherboard-pro-b650-s-wifi,18099.0,MSI,PRO B650-S WIFI,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000",Black,2.0,,,1.0,,"2280/22110 M-key, 2260/2280 M-key, 2230 E-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:14:15.337Z
ASRock B650M-HDV/M.2 White Micro ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/d28123654f51c07102f4b17dc4a08e54.256p.jpg,https://pcpartpicker.com/product/8LFCmG/asrock-b650m-hdvm2-white-micro-atx-am5-motherboard-b650m-hdvm2-white,12844.0,ASRock,B650M-HDV/M.2 White,AM5,Micro ATX,AMD B650,128 GB,DDR5,2,"DDR5-4800, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8200",White,2.0,,,1.0,,"2280 M-key, 2260/2280 M-key, 2230 E-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2.0,,2.0,1.0,,No,,Yes,2026-01-20T11:14:21.331Z
Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5 Motherboard,,https://pcpartpicker.com/product/WQTp99/asus-rog-strix-b650e-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-b650e-i-gaming-wifi,29776.0,Asus,ROG STRIX B650E-I GAMING WIFI,AM5,Mini ITX,AMD B650E,96 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black,1.0,,,,,"2242/2260/2280 M-key, 2242/2260/2280 M-key",,,,,2.0,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,1.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:14:27.337Z
ASRock B550 Phantom Gaming 4/ac ATX AM4 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg,https://pcpartpicker.com/product/Ytdrxr/asrock-b550-phantom-gaming-4ac-atx-am4-motherboard-b550-phantom-gaming-4ac,10509.0,ASRock,B550 Phantom Gaming 4/ac,AM4,ATX,AMD B550,128 GB,DDR4,4,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3466, DDR4-3600, DDR4-3733, DDR4-3800, DDR4-3866, DDR4-4000, DDR4-4133, DDR4-4200, DDR4-4266, DDR4-4333, DDR4-4400, DDR4-4533",Silver / Black,2.0,,,2.0,,"2260/2280/22110 M-key, 2230 E-key",,,,,4.0,1 x 1 Gb/s Ports (Realtek RTL8111H),Depends on CPU,2.0,,1.0,,,No,Wi-Fi 5,Yes,2026-01-20T11:14:33.330Z
Asus TUF GAMING X870-PLUS WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/0817e1eae7204d437ef0084b49c0c855.256p.jpg,https://pcpartpicker.com/product/KT88TW/asus-tuf-gaming-x870-plus-wifi-atx-am5-motherboard-tuf-gaming-x870-plus-wifi,29193.0,Asus,TUF GAMING X870-PLUS WIFI,AM5,ATX,AMD X870,192 GB,DDR5,4,"DDR5-5600, DDR5-8000",Black,2.0,,,,,"2280 M-key, 2280 M-key, 2280 M-key, 2242/2260/2280 M-key",,,,,2.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,1.0,No,Wi-Fi 7,Yes,2026-01-20T11:14:39.339Z
Asus ROG STRIX X870-I GAMING WIFI Mini ITX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/4e5ec27085e7971c37ce5794396f9639.256p.jpg,https://pcpartpicker.com/product/Pm6NnQ/asus-rog-strix-x870-i-gaming-wifi-mini-itx-am5-motherboard-rog-strix-x870-i-gaming-wifi,46709.0,Asus,ROG STRIX X870-I GAMING WIFI,AM5,Mini ITX,AMD X870,128 GB,DDR5,2,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400, DDR5-8600",Black,1.0,,,,,"2280 M-key, 2242/2260/2280 M-key",,,,,2.0,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,,,1.0,1.0,,No,Wi-Fi 7,Yes,2026-01-20T11:14:45.334Z
Asus ROG STRIX B650-A GAMING WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/127cc163cf3e552499471f1908f99cfe.256p.jpg,https://pcpartpicker.com/product/Gjt9TW/asus-rog-strix-b650-a-gaming-wifi-atx-am5-motherboard-rog-strix-b650-a-gaming-wifi,21018.0,Asus,ROG STRIX B650-A GAMING WIFI,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400",Black / Silver,2.0,,,2.0,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280/22110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Intel),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:14:52.329Z
Gigabyte X870E AORUS PRO ICE ATX AM5 Motherboard,,https://pcpartpicker.com/product/3QtLrH/gigabyte-x870e-aorus-pro-ice-atx-am5-motherboard-x870e-aorus-pro-ice,37951.0,Gigabyte,X870E AORUS PRO ICE,AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",White,3.0,,,,,"2580/25110 M-key, 2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,2.0,,1.0,No,Wi-Fi 7,Yes,2026-01-20T11:14:58.340Z
MSI B850 GAMING PLUS WIFI ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/2bbb6b8dc2a1b1dbd36d70f7733677f3.256p.jpg,https://pcpartpicker.com/product/4XHp99/msi-b850-gaming-plus-wifi-atx-am5-motherboard-b850-gaming-plus-wifi,24522.0,MSI,B850 GAMING PLUS WIFI,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4800, DDR5-5600, DDR5-6400, DDR5-8200",Silver / Black,4.0,,,,,"2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key",,,,,4.0,1 x 5 Gb/s Ports (Realtek 8126VB),Depends on CPU,2.0,,2.0,1.0,,No,Wi-Fi 7,Yes,2026-01-20T11:15:04.341Z
